Episode Number,Airing Year,Episode Title,Rating,Plot
Episode #12.4,2019, 8 Out of 10 Cats Does Countdown,7.3,"Jimmy Carr hosts. Sean Locke and Joe Wilkinson versus Jon Richardson and Jayde Adams. David Baddiel is in Dictionary Corner with Susie Dent, also stars Rachel Riley and Pat Sharp."
Episode #17.4,2019, 8 Out of 10 Cats Does Countdown,7.3,"Team captain Sean Lock and David Mitchell face team captain Jon Richardson and Sara Pascoe. ""Mum's the Word"" comedy duo joins Susie Dent in Dictionary Corner, Rachel Riley is at the Countdown board and Jimmy Carr hosts."
Episode #17.5,2019, 8 Out of 10 Cats Does Countdown,7.2,"Team captain Sean Lock and US comedian Michelle Wolf face team captain Jon Richardson and Rob Beckett. Prop comedian Spencer Jones joins Susie Dent in Dictionary Corner, Rachel Riley is at the Countdown board and skipper Jimmy Carr hosts."
Episode #18.1,2020, 8 Out of 10 Cats Does Countdown,7.2,"It's team captain Sean Lock and beef-addicted Miles Jupp vs. team captain Jon Richardson and Kiwi comedienne Rose Matafeo. Susie Dent and Vic Reeves are in Dictionary Corner, Rachel Riley is at the Countdown Board and Jimmy Carr hosts."
Episode #19.1,2020, 8 Out of 10 Cats Does Countdown,7.2,"Team captain Sean Lock and comedian Harry Hill face team captain Jon Richardson and NZ comedian Rose Matafeo, Alex Horne and the Horne Section join Susie Dent in Dictionary Corner, Rachel Riley is at the Countdown Board, Jimmy Carr hosts."
Episode #19.2,2012, 8 Out of 10 Cats Does Countdown,7.2,"Sean Lock and Joe Wilkinson take on Jon Richardson and comedian Kiri Pritchard-McLean. Susie Dent and musical comedy duo The Brett Domino Trio are in the Dictionary Corner, Rachel Riley is at the Countdown Board and Jimmy Carr hosts."
Channel 4 Mashup,2016, 8 Out of 10 Cats Does Countdown,7.2,It's Sean Lock vs. Jon Richardson in the first 8 Out of 10 Cats edition of Countdown ever. Joe Wilkinson joins Susie Dent in Dictionary Corner.
Episode #11.1,2016, 8 Out of 10 Cats Does Countdown,7.2,Jimmy Carr hosts. Guest Captain David Walliams and Jonathan Ross versus Jon Richardson and Joe Lycett. Isy Suttie is in Dictionary Corner with Susie Dent also stars Rachel Riley.
Episode #11.4,2017, 8 Out of 10 Cats Does Countdown,7.2,Jimmy Carr hosts. Sean Lock and Victoria Coren Mitchell versus Guest Captain Lee Mack and Bob Mortimer. Alex Horne and The Horne Section are in Dictionary Corner with Susie Dent also stars Rachel Riley.
Episode #12.1,2017, 8 Out of 10 Cats Does Countdown,7.2,"Jimmy Carr hosts. Sean Lock, Stephen Mangan and Mark Murray (Countdown Series 70 champion) versus Guest Captain Noel Fielding and Fay Ripley. The Brett Domino Trio are in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Election Special,2017, 8 Out of 10 Cats Does Countdown,7.2,"Guest team captain Alan Carr and Romesh Ranganathan face team captain Jon Richardson and Sarah Millican on this 2017 election special. John Kearns joins Susie Dent in Dictionary Corner, Rachel Riley is at the board and Jimmy Carr hosts."
Episode #14.3,2017, 8 Out of 10 Cats Does Countdown,7.2,"Jimmy Carr hosts. Guest Captain Alan Carr and Katherine Ryan versus Jon Richardson and Jason Manford. Ivan Brackenbury is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #14.5,2018, 8 Out of 10 Cats Does Countdown,7.2,"Jimmy Carr hosts. Guest Captain Jason Manford and Joe Wilkinson versus Guest Captain Lee Mack and Fay Ripley. Alex Horne and The Horne Section are in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #15.1,2019, 8 Out of 10 Cats Does Countdown,7.2,"Jimmy Carr hosts. Guest Captain Kevin Bridges and Jessica Knappett versus Jon Richardson and Joe Wilkinson. John Cooper Clarke is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #17.1,2019, 8 Out of 10 Cats Does Countdown,7.1,"Team captain Sean Lock, Johnny Vegas and Johnny's chocolate bust face guest team captain Alan Carr and Lou Sanders. The Brett Domino Trio join Susie Dent in Dictionary Corner, Rachel Riley is at the Countdown board and Jimmy Carr hosts."
Episode #18.6,2020, 8 Out of 10 Cats Does Countdown,7.1,"It's fatherly team captain Sean Lock and daughterly Harriet Kemsley vs. guest team captain Alan Carr and Catherine Tate. Susie Dent and Adam Buxton are in Dictionary Corner, Rachel Riley is at the Countdown Board and Jimmy Carr hosts."
Episode #19.5,2020, 8 Out of 10 Cats Does Countdown,7.1,"Team captain Sean Lock and Kevin Bridges face team captain Jon Richardson and broadcaster Victoria Coren Mitchell. Comedian Spencer Jones join Susie Dent in Dictionary Corner, Rachel Riley is at the Countdown Board and Jimmy Carr hosts."
Episode #20.1,2022, 8 Out of 10 Cats Does Countdown,7.1,"Team captain Sean Lock and Kerry Godliman face team captain Jon Richardson and Joe Wilkinson. Susie Dent is joined by Mr. Swallow (Nick Mohammed) in the Dictionary Corner, Rachel Riley is at the Countdown Board and Jimmy Carr hosts."
Episode #23.6,2015, 8 Out of 10 Cats Does Countdown,7.1,On this edition of the words and numbers game show comedy mash-up Jonathan Ross and Russell Kane take on Alan Carr and Judi Love. Josh Jones is in Dictionary Corner.
Episode #6.1,2016, 8 Out of 10 Cats Does Countdown,7.1,It's David Mitchell and Sean Lock vs. Jon Richardson and Katherine Ryan. David O'Doherty joins Susie Dent in Dictionary Corner.
Episode #10.5,2021, 8 Out of 10 Cats Does Countdown,7,Jimmy Carr hosts. Guest Captain Claudia Winkleman and Johnny Vegas versus Jon Richardson and Reginald D. Hunter. Sara Pascoe is in Dictionary Corner with Susie Dent also stars Rachel Riley and Joe Wilkinson.
Episode #21.1,2021, 8 Out of 10 Cats Does Countdown,7,Katherine Ryan and Joe Lycett take on Sean Lock and Johnny Vegas. Jimmy Carr hosts. Rachel Riley takes care of the numbers. Christopher Bliss joins Susie Dent in Dictionary Corner.
Episode #21.3,2022, 8 Out of 10 Cats Does Countdown,7,Jimmy Carr hosted the show assisted by Susie Dent and Rachel Riley. The teams were Sean Lock (captain) and Harriet Kemsley against Jon Richardson (captain) and Joe Lycett. Mat Ewins helped in the dictionary corner.
Episode #23.3,2016, 8 Out of 10 Cats Does Countdown,7,"Jimmy Carr presents the comedy version of the gameshow alongside Countdown regulars Rachel Riley and Susie Dent. This week, Jon Richardson and Jo Brand take on Joe Wilkinson and Jamali Maddix. Rachel Parris is in Dictionary Corner."
Episode #10.3,2017, 8 Out of 10 Cats Does Countdown,7,It's David O'Doherty and Sean Lock vs. Jon Richardson and Natasia Demetriou. John Kearns joins Susie Dent in Dictionary Corner.
Episode #12.8,2020, 8 Out of 10 Cats Does Countdown,6.9,"Jimmy Carr hosts. Guest Captain Joe Wilkinson and Katherine Ryan versus Jon Richardson and Chris Addison. David O'Doherty is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #20.2,2021, 8 Out of 10 Cats Does Countdown,6.9,"Team captain Sean Lock and Rosie Jones face team captain Jon Richardson and Tom Allen. Susie Dent is joined by Sean Bean (impersonated by Adam Riches) in the Dictionary Corner, Rachel Riley is at the Countdown Board and Jimmy Carr hosts."
Episode #21.2,2016, 8 Out of 10 Cats Does Countdown,6.9,Jimmy Carr hosts with Rachel Riley and Susie Dent. Sean Lock and Paul Foot take on Jon Richardson and Angela Barnes. John Cooper Clarke joins Dictionary Corner.
Episode #9.5,2020, 8 Out of 10 Cats Does Countdown,6.8,It's Katherine Ryan and Sean Lock vs. Jon Richardson and David Mitchell. Nick Helm joins Susie Dent in Dictionary Corner.
Best Bits 1,2022, 8 Out of 10 Cats Does Countdown,6.8,Clip show featuring best bits from the last series.
Episode #22.1,2022, 8 Out of 10 Cats Does Countdown,6.8,"Jimmy Carr hosts the comedy game show mash-up. Roisin Conaty and Kiri Pritchard-McLean take on Jon Richardson and Rob Beckett. With Huge Davies, Joe Wilkinson, Susie Dent and Rachel Riley."
Episode #22.2,2016, 8 Out of 10 Cats Does Countdown,6.8,Jimmy Carr hosts as Jack Dee and Tom Allen take on Jon Richardson and Judi Love. Dr John Cooper Clarke joins Susie Dent in Dictionary Corner. With Rachel Riley.
Episode #10.4,2017, 8 Out of 10 Cats Does Countdown,6.6,"Jimmy Carr hosts. Sean Lock and David Mitchell versus Jon Richardson and Katherine Ryan. The Brett Domino Trio is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #13.3,2015, 8 Out of 10 Cats Does Countdown,6.5,"Jimmy Carr hosts. Sean Lock and Stephen Mangan versus Guest Captain Richard Ayoade and Katherine Ryan. Bill Bailey is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Christmas Special 2015,2020, 8 Out of 10 Cats Does Countdown,6.4,Jimmy Carr hosts. Sean Lock and Johnny Vegas versus Jon Richardson and Katherine Ryan. David O'Doherty is in Dictionary Corner with Susie Dent also stars Rachel Riley.
Best Bits 2,2018, 8 Out of 10 Cats Does Countdown,6.4,Clip show featuring best bits from the series.
Episode #16.1,2023, 8 Out of 10 Cats Does Countdown,0,"In this all female episode celebrating the centennial of women's right to vote in the UK, Sara Pascoe and Lolly Adefope face Roisin Conaty and Jessica Hynes, Morgana Robinson joins Susie, Rachel is at the board, and Katherine Ryan hosts."
